Aggregation_Scale,Temporal_Fold,Timestamp_Start,Timestamp_End,Total_Rows,Unique_Timestamp_Count,Training_Timestamp_Count,Validation_Timestamp_Count,Buffer_Timestamp_Count,Gap_Hours_From_Role_Table,Buffer_Length_From_Rule_Table,Buffer_Length_Unit,Split_Source_File,Buffer_Rule_File,Notes
1 h,1,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8178,2046,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,2,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8178,2046,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,3,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8178,2046,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,4,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8181,2043,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
1 h,5,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8181,2043,0,0,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,1,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8040,2046,138,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,2,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8013,2046,165,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,3,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7971,2046,207,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,4,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7951,2043,230,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
24 h,5,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,8020,2043,161,24,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
31 d,1,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,6168,2046,2010,336,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
31 d,2,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,5829,2046,2349,336,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
31 d,3,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,5163,2046,3015,336,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
31 d,4,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,4831,2043,3350,336,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
31 d,5,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,6194,2043,1987,336,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
7 d,1,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7176,2046,1002,168,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
7 d,2,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7005,2046,1173,168,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
7 d,3,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,6675,2046,1503,168,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
7 d,4,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,6511,2043,1670,168,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
7 d,5,2021-10-01 00:00:00,2023-12-31 23:00:00,10224,10224,7034,2043,1147,168,,,data/splits/temporal_5fold_window_assignment.csv,data/splits/temporal_buffer_intervals.csv,"Temporal split metadata summarized from the role table. Role values define Training, Validation, and Buffer timestamps for each aggregation scale and fold."
